"Category","File","Width","Height","PixelFormat","AlphaMin","AlphaMax","TransparentSamples","OpaqueSamples"
"01-背景","bg-assassination-hall-750x1334.png","750","1334","Format32bppArgb","220","255","0","15438"
"01-背景","bg-friends-library-750x1334.png","750","1334","Format32bppArgb","220","255","0","15438"
"01-背景","bg-main-hall-750x1334.png","750","1334","Format32bppArgb","237","255","0","15531"
"01-背景","bg-mission-table-750x1334.png","750","1334","Format32bppArgb","220","255","0","15438"
"01-背景","bg-records-hall-750x1334.png","750","1334","Format32bppArgb","220","255","0","15438"
"01-背景","bg-role-reveal-hall-750x1334.png","750","1334","Format32bppArgb","220","255","0","15438"
"01-背景","bg-round-table-hall-750x1334.png","750","1334","Format32bppArgb","220","255","0","15438"
"01-背景","bg-voting-hall-750x1334.png","750","1334","Format32bppArgb","237","255","0","15531"
"02-Logo","crest_evil.png","1254","1254","Format32bppArgb","0","255","13739","29"
"02-Logo","crest_good.png","1254","1254","Format32bppArgb","0","255","16014","5"
"02-Logo","game_logo_title.png","1774","887","Format32bppArgb","0","255","16176","5"
"03-面板","panel_bottom_nav.png","1983","793","Format32bppArgb","0","254","18601","0"
"03-面板","panel_content_large.png","1086","1448","Format32bppArgb","0","254","8285","0"
"03-面板","panel_header_empty.png","2172","724","Format32bppArgb","0","255","14144","2"
"03-面板","panel_list_row.png","2170","725","Format32bppArgb","0","255","14853","1"
"03-面板","panel_mission_hud.png","2172","724","Format32bppArgb","0","255","18020","8"
"03-面板","panel_modal_large.png","1122","1402","Format32bppArgb","0","255","7597","1"
"03-面板","panel_search_box.png","2172","724","Format32bppArgb","0","255","17909","2"
"04-按钮","banner_result.png","2172","724","Format32bppArgb","0","255","14531","6"
"04-按钮","banner_stage.png","2172","724","Format32bppArgb","0","255","16011","16"
"04-按钮","button_danger_red.png","2056","765","Format32bppArgb","0","255","15320","18"
"04-按钮","button_login_green.png","2172","724","Format32bppArgb","0","254","14670","0"
"04-按钮","button_mission_failure.png","1086","1448","Format32bppArgb","0","255","7658","6"
"04-按钮","button_mission_success.png","1086","1448","Format32bppArgb","0","255","7915","9"
"04-按钮","button_primary_blue.png","2086","754","Format32bppArgb","0","255","14520","3"
"04-按钮","button_secondary_dark.png","2172","724","Format32bppArgb","0","255","12782","8"
"04-按钮","button_small_action.png","1983","793","Format32bppArgb","0","255","13231","3"
"04-按钮","button_vote_approve.png","1086","1448","Format32bppArgb","0","255","8120","4"
"04-按钮","button_vote_reject.png","1086","1448","Format32bppArgb","0","255","9116","3"
"04-按钮","card_role_back.png","1024","1536","Format32bppArgb","0","254","9205","0"
"04-按钮","card_role_front.png","1024","1536","Format32bppArgb","0","254","10321","0"
"04-按钮","slot_team_member.png","2172","724","Format32bppArgb","0","255","13120","1"
"04-按钮","tab_active_blue.png","1858","846","Format32bppArgb","0","255","15733","145"
"04-按钮","tab_inactive_dark.png","1860","845","Format32bppArgb","0","255","15760","3"
"05-图标","add-friend-icon.png","1254","1254","Format32bppArgb","0","255","17967","2"
"05-图标","back-icon.png","1254","1254","Format32bppArgb","0","255","18867","6"
"05-图标","brain-icon.png","1254","1254","Format32bppArgb","0","255","13766","7"
"05-图标","chat-icon.png","1254","1254","Format32bppArgb","0","255","15823","10"
"05-图标","check-icon.png","1254","1254","Format32bppArgb","0","255","20208","8"
"05-图标","crown-icon.png","1254","1254","Format32bppArgb","0","255","16852","7"
"05-图标","eye-icon.png","1254","1254","Format32bppArgb","0","255","20176","2"
"05-图标","friends-icon.png","1254","1254","Format32bppArgb","0","255","15155","1"
"05-图标","home-icon.png","1254","1254","Format32bppArgb","0","255","14947","2"
"05-图标","invite-swords-icon.png","1254","1254","Format32bppArgb","0","255","17310","13"
"05-图标","leaderboard-icon.png","1254","1254","Format32bppArgb","0","255","17211","25"
"05-图标","lock-icon.png","1254","1254","Format32bppArgb","0","255","16083","11"
"05-图标","microphone-icon.png","1254","1254","Format32bppArgb","0","255","18541","2"
"05-图标","mission-failure-emblem.png","1254","1254","Format32bppArgb","0","255","16140","11"
"05-图标","mission-success-emblem.png","1254","1254","Format32bppArgb","0","255","15604","6"
"05-图标","plus-icon.png","1254","1254","Format32bppArgb","0","255","18860","2"
"05-图标","search-icon.png","1254","1254","Format32bppArgb","0","255","17818","8"
"05-图标","settings-icon.png","1254","1254","Format32bppArgb","0","255","15766","21"
"05-图标","share-icon.png","1254","1254","Format32bppArgb","0","255","19800","13"
"05-图标","skull-failure-icon.png","1254","1254","Format32bppArgb","0","255","18249","4"
"05-图标","sound-icon.png","1254","1254","Format32bppArgb","0","255","18962","12"
"05-图标","star-icon.png","1254","1254","Format32bppArgb","0","255","17020","20"
"05-图标","target-icon.png","1254","1254","Format32bppArgb","0","255","15846","12"
"05-图标","thumbs-approve-icon.png","1254","1254","Format32bppArgb","0","255","17001","5"
"05-图标","thumbs-reject-icon.png","1254","1254","Format32bppArgb","0","255","17818","6"
"05-图标","timer-icon.png","1254","1254","Format32bppArgb","0","255","16447","12"
"05-图标","trophy-icon.png","1254","1254","Format32bppArgb","0","255","18379","4"
"06-头像","avatar-assassin.png","1199","1312","Format32bppArgb","0","255","8503","6"
"06-头像","avatar-dwarf-warrior.png","1147","1372","Format32bppArgb","0","255","8057","2"
"06-头像","avatar-empty-slot.png","1222","1287","Format32bppArgb","0","255","11643","3"
"06-头像","avatar-green-ranger.png","1230","1278","Format32bppArgb","0","255","7784","3"
"06-头像","avatar-loyal-female.png","1200","1310","Format32bppArgb","0","254","9025","0"
"06-头像","avatar-loyal-male.png","1312","1199","Format32bppArgb","0","255","11085","1"
"06-头像","avatar-merlin.png","1199","1312","Format32bppArgb","0","254","8042","0"
"06-头像","avatar-minion.png","1312","1199","Format32bppArgb","0","254","9155","0"
"06-头像","avatar-morgana.png","1145","1374","Format32bppArgb","0","255","8792","5"
"06-头像","avatar-percival.png","1199","1312","Format32bppArgb","0","254","9516","0"
"06-头像","avatar-player-knight.png","1199","1312","Format32bppArgb","0","255","10650","2"
"06-头像","avatar-silver-queen.png","1145","1374","Format32bppArgb","0","255","9703","4"
"07-身份徽记","role-assassin.png","1254","1254","Format32bppArgb","0","255","18590","13"
"07-身份徽记","role-merlin.png","1254","1254","Format32bppArgb","0","255","17460","12"
"07-身份徽记","role-minion.png","1254","1254","Format32bppArgb","0","255","16841","4"
"07-身份徽记","role-mordred.png","1254","1254","Format32bppArgb","0","255","15579","21"
"07-身份徽记","role-morgana.png","1254","1254","Format32bppArgb","0","255","17244","9"
"07-身份徽记","role-oberon.png","1254","1254","Format32bppArgb","0","255","15466","15"
"07-身份徽记","role-percival.png","1254","1254","Format32bppArgb","0","255","15891","11"
"07-身份徽记","role-servant.png","1254","1254","Format32bppArgb","0","255","10246","13"
"08-装饰","banner_evil_red.png","724","2172","Format32bppArgb","0","255","14714","9"
"08-装饰","banner_good_blue.png","724","2172","Format32bppArgb","0","255","13075","4"
"08-装饰","decor-blue-banner.png","1024","1536","Format32bppArgb","0","253","16298","0"
"08-装饰","decor-laurel-medal.png","1312","1199","Format32bppArgb","0","255","17914","2"
"08-装饰","decor-raven.png","1225","1284","Format32bppArgb","0","255","15387","2"
"08-装饰","decor-red-banner.png","1024","1536","Format32bppArgb","0","254","14787","0"
"08-装饰","divider_bronze.png","2172","724","Format32bppArgb","0","254","23661","0"
