"Page","Backgrounds","Logos","Panels","Buttons","Icons","Avatars","Roles","Decor"
"01-登录界面","1","3","7","16","27","12","8","7"
"02-主界面","1","3","7","16","27","12","8","7"
"03-匹配中界面","1","0","7","16","27","12","8","7"
"04-房间准备界面","1","0","7","16","27","12","8","7"
"05-随机分配角色界面","1","0","7","16","27","12","8","7"
"06-身份确认界面","1","3","7","16","27","12","8","7"
"07-轮流发言界面","1","0","7","16","27","12","8","7"
"08-队长组队上车界面","1","0","7","16","27","12","8","7"
"09-全员投票界面","1","0","7","16","27","12","8","7"
"10-任务执行界面","1","0","7","16","27","12","8","7"
"11-任务结果与轮次界面","1","0","7","16","27","12","8","7"
"12-刺杀梅林界面","1","0","7","16","27","12","8","7"
"13-游戏结算界面","1","3","7","16","27","12","8","7"
"14-AI复盘与分享界面","1","3","7","16","27","12","8","7"
"15-排行榜界面","1","3","7","16","27","12","8","7"
"16-好友列表界面","1","0","7","16","27","12","8","7"
